URL,Title,Category,Scheduled Date,Quality Score,Original Audit Action,Decision,Reason
(not live) /how-to-handle-being-laid-off-the-first-two-weeks,How to Handle Being Laid Off: The First Two Weeks,Career,2026-09-10,6,IMPROVE,Rewrite before publication,"SENSITIVE FINANCIAL/LEGAL CLAIMS — The most India-specific and practically dense article in the batch, but every regulatory claim is uncited, which is risky for content in a YMYL-adjacent category. (quality 6/10)."
(not live) /how-to-link-aadhaar-and-pan-online-step-by-step,How to Link Aadhaar and PAN Online — Step by Step,Finance,2026-09-11,6,IMPROVE,Rewrite before publication,"The most transactionally useful and specific article in the batch, but lacks screenshots of an inherently visual process and has no 'last verified' date for government portal details that change. (quality 6/10)."
(not live) /how-to-check-your-epf-balance-without-visiting-an-office,How to Check Your EPF Balance Without Visiting an Office,Finance,2026-09-12,5,IMPROVE,Rewrite before publication,"Core 4-step process is accurate and useful, but roughly 15 of the 20 H2 sections are generic padding invented to hit word count rather than sourced insight. (quality 5/10)."
(not live) /how-to-download-your-digital-driving-licence-on-digilocker,How to Download Your Digital Driving Licence on DigiLocker,Tech,2026-09-13,5,IMPROVE,Rewrite before publication,"SENSITIVE FINANCIAL/LEGAL CLAIMS — Legally load-bearing claims (IT Act equivalence, police acceptance) are stated confidently without any citation, which is risky for a legal-adjacent claim with no named source. (quality 5/10)."
(not live) /how-to-file-a-consumer-complaint-online-in-india,How to File a Consumer Complaint Online in India,Finance,2026-09-14,6,IMPROVE,Rewrite before publication,"The jurisdiction table is a genuinely useful, specific, and correct piece of information that lifts this above the batch average, but it's surrounded by heavy generic padding. (quality 6/10)."
(not live) /how-to-get-a-duplicate-pan-card-online,How to Get a Duplicate PAN Card Online,Finance,2026-09-15,4,IMPROVE,Rewrite before publication,"Explicitly hedges its own fee numbers as possibly outdated, which undercuts the practical value of a how-to whose main reason to exist is telling readers what it costs and how long it takes. (quality 4/10)."
(not live) /how-to-register-a-complaint-against-spam-calls-with-trai,How to Register a Complaint Against Spam Calls With TRAI,Tech,2026-09-16,5,MERGE,Merge with another article,"Merge into scheduled ""How to Stop Spam Calls and SMS on an Indian SIM"" (the more comprehensive of the pair, per audit notes); both walk through the same DND/1909 process."
(not live) /how-to-check-your-cibil-score-for-free-legally,"How to Check Your CIBIL Score for Free, Legally",Finance,2026-09-17,5,MERGE,Merge with another article,"Fold the free-check angle into the already-published ""Credit Score in India: How It Works and How to Fix It"" as a section rather than publishing a standalone competing page."
(not live) /how-to-verify-a-company-is-real-before-accepting-a-job-offer,How to Verify a Company Is Real Before Accepting a Job Offer,Career,2026-09-18,4,MAJOR REWRITE,Rebuild,"States the GST verification portal as services.gst.in — the real domain is services.gst.gov.in — a factual error at the center of a fraud-prevention article whose whole premise is helping readers avoid being misled by wrong domains. Also 19 H2 sections for a 4-point checklist with no worked example. Fix the URL, add a real walked-through example, and restructure before this ever goes live."
(not live) /how-to-report-a-fraudulent-upi-transaction-and-actually-get-your-money-back,How to Report a Fraudulent UPI Transaction and Actually Get Your Money Back,Finance,2026-09-19,5,IMPROVE,Rewrite before publication,Omits the actual RBI liability tiers/timeframes despite being the single most useful data point a reader trying to get money back would want. (quality 5/10).
(not live) /how-to-check-if-your-vehicle-challan-is-real-or-a-scam,How to Check If Your Vehicle Challan Is Real or a Scam,Finance,2026-09-20,5,IMPROVE,Rewrite before publication,"Practically useful core advice, but padded with the same invented-scenario filler pattern seen throughout this batch. (quality 5/10)."
(not live) /how-to-recover-deleted-whatsapp-messages-and-photos-what-actually-works,How to Recover Deleted WhatsApp Messages and Photos — What Actually Works,Tech,2026-09-21,6,IMPROVE,Rewrite before publication,"The most technically specific article in this batch, but still padded and ends with a duplicated closing sentence that reads like a generation artifact. (quality 6/10)."
(not live) /how-to-free-up-storage-on-your-phone-without-deleting-photos-you-want,How to Free Up Storage on Your Phone Without Deleting Photos You Want,Tech,2026-09-22,4,MERGE,Merge with another article,"Merge into scheduled ""Digital Decluttering: How to Clean Up Years of Phone Photos and Files"" (slightly higher quality score, same bulk-cleanup methodology)."
(not live) /how-to-stop-spam-calls-and-sms-on-an-indian-sim-the-settings-that-actually-help,How to Stop Spam Calls and SMS on an Indian SIM — The Settings That Actually Help,Tech,2026-09-23,5,MERGE,Merge with another article,"Canonical survivor of this pair (adds carrier/phone-level filtering on top of DND); absorb ""How to Register a Complaint Against Spam Calls With TRAI"" into it."
(not live) /how-to-transfer-whatsapp-chats-to-a-new-phone-without-losing-history,How to Transfer WhatsApp Chats to a New Phone Without Losing History,Tech,2026-09-24,5,HOLD FROM PUBLICATION,Rewrite before publication,"20 H2 headers escalating into speculative edge cases (16+ beyond the 5 core steps), the clearest AI-mill padding signature in its batch. Core menu-path steps are plausible but unverified against a current WhatsApp build."
(not live) /how-to-use-google-lens-for-more-than-just-translating-text,How to Use Google Lens for More Than Just Translating Text,Tech,2026-09-25,4,HOLD FROM PUBLICATION,Rewrite before publication,"Reads like restated Google marketing copy with no personal testing, failure example, or India-specific angle despite the site otherwise targeting an Indian audience."
(not live) /how-to-set-up-a-second-whatsapp-number-on-one-phone,How to Set Up a Second WhatsApp Number on One Phone,Tech,2026-09-26,5,HOLD FROM PUBLICATION,Rewrite before publication,Manufacturer dual-app naming is the only substantive detail; everything else is generic filler. One of three WhatsApp how-tos scheduled in the same window; space out or differentiate.
(not live) /how-to-find-a-lost-android-phone-even-when-it-is-offline,How to Find a Lost Android Phone Even When It Is Offline,Tech,2026-09-27,6,HOLD FROM PUBLICATION,Hold,"Strongest India-specific grounding in the batch (Sanchar Saathi, DoT, IMEI dial code) but the audit explicitly flags that these government-portal requirements need a currency check before publishing."
(not live) /how-to-turn-off-ads-in-free-android-apps-what-is-legal-and-what-is-not,How to Turn Off Ads in Free Android Apps — What Is Legal and What Is Not,Tech,2026-09-28,4,HOLD FROM PUBLICATION,Rebuild,"Makes confident legal claims (copyright infringement, ToS violation) about modified APKs with zero citation to actual Indian copyright or IT law, despite the article's entire premise being a legal distinction. Needs real legal research and a disclaimer."
(not live) /how-to-screen-record-on-android-without-a-third-party-app,How to Screen Record on Android Without a Third-Party App,Tech,2026-09-29,5,HOLD FROM PUBLICATION,Rewrite before publication,"DRM/Widevine and ADB fallback details are accurate, but the ""call recording legality varies by consent"" claim is unsupported by any citation. Cite it or cut it, and add the UI screenshots this visual topic is missing entirely."
(not live) /how-to-check-if-your-phone-number-was-leaked-in-a-data-breach,How to Check If Your Phone Number Was Leaked in a Data Breach,Tech,2026-09-30,6,HOLD FROM PUBLICATION,Hold,The most specifically-sourced article in the batch (named tools and government portals) but the audit flags that HIBP's phone-search feature and cited portals need a fact-check pass for currency before a September 2026 publish date.
(not live) /how-to-build-a-second-brain-with-just-notes-and-folders-no-app-needed,"How to Build a Second Brain With Just Notes and Folders, No App Needed",Productivity,2026-10-01,3,HOLD FROM PUBLICATION,Rebuild,"Presents the well-known PARA method as original, uncredited advice, an originality/attribution problem, not a polish problem. Needs to be reframed as ""how to apply PARA"" (with credit) or rebuilt around genuinely original structure."
(not live) /how-to-actually-stick-to-a-morning-routine-based-on-what-derails-most-people,"How to Actually Stick to a Morning Routine, Based on What Derails Most People",Productivity,2026-10-02,3,HOLD FROM PUBLICATION,Rebuild,"States an unsourced cortisol/physiology claim with unwarranted confidence in otherwise fully generic content (quality 3, the lowest in the scheduled queue). Also the designated merge target for ""How to Build a Habit That Survives a Bad Week."""
(not live) /the-two-minute-rule-for-getting-through-a-long-to-do-list,The Two-Minute Rule for Getting Through a Long To-Do List,Productivity,2026-10-03,3,HOLD FROM PUBLICATION,Rebuild,"Reproduces David Allen's well-known GTD 'two-minute rule' without crediting GTD or Allen, presented as original site advice, an attribution problem, not a citation-formatting nitpick."
(not live) /how-to-run-a-weekly-review-that-actually-changes-what-you-do,How to Run a Weekly Review That Actually Changes What You Do,Productivity,2026-10-04,4,HOLD FROM PUBLICATION,Hold,Explicitly flagged as part of a large cluster of near-identical generic productivity how-tos scheduled back-to-back. Hold pending a cluster-level decision on which of these survive as standalone pages.
(not live) /how-to-say-no-to-extra-work-without-damaging-the-relationship,How to Say No to Extra Work Without Damaging the Relationship,Productivity,2026-10-05,4,HOLD FROM PUBLICATION,Rewrite before publication,No India-specific workplace context despite the site's general India focus. Also the merge target for 'How to Set Boundaries With Work Messages After Hours'; add the India angle and absorb that content rather than publishing both.
(not live) /how-to-organize-your-email-inbox-in-under-30-minutes,How to Organize Your Email Inbox in Under 30 Minutes,Productivity,2026-10-06,5,HOLD FROM PUBLICATION,Rewrite before publication,20 H2 sections over 1532 words reads as programmatic long-tail expansion rather than organic structure. Competent core advice; needs real evidence/sourcing and a significant trim.
(not live) /digital-decluttering-how-to-clean-up-years-of-phone-photos-and-files,Digital Decluttering: How to Clean Up Years of Phone Photos and Files,Tech,2026-10-07,5,MERGE,Merge with another article,"Canonical survivor of this pair; absorb ""How to Free Up Storage on Your Phone Without Deleting Photos You Want"" into it."
(not live) /how-to-batch-small-tasks-so-they-stop-interrupting-deep-work,How to Batch Small Tasks So They Stop Interrupting Deep Work,Productivity,2026-10-08,5,HOLD FROM PUBLICATION,Rewrite before publication,"Presents invented-sounding precise numbers (""a couple of minutes per switch"") as if measured. Reasonably practical advice once sourced or reframed as illustrative, and trimmed from 18 H2s."
(not live) /how-to-set-boundaries-with-work-messages-after-hours,How to Set Boundaries With Work Messages After Hours,Productivity,2026-10-09,5,MERGE,Merge with another article,"Shares the exact tag set and category with scheduled ""How to Say No to Extra Work Without Damaging the Relationship""; fold into that article rather than publishing both."
(not live) /how-to-build-a-habit-that-survives-a-bad-week,How to Build a Habit That Survives a Bad Week,Productivity,2026-10-10,5,MERGE,Merge with another article,"Merge into scheduled ""How to Actually Stick to a Morning Routine, Based on What Derails Most People"" — note that article itself is flagged Rebuild (unsourced cortisol claim) and needs fixing before it can absorb this content."
(not live) /how-to-tell-if-a-link-is-a-phishing-scam-before-you-click-it,How to Tell If a Link Is a Phishing Scam Before You Click It,Tech,2026-10-11,6,IMPROVE,Rewrite before publication,"One of the stronger articles in this batch for concrete, India-specific technical detail, but still unsourced beyond naming CERT-In, and sits in a growing site-wide cluster of scam-detection articles that risk cannibalizing each other. (quality 6/10)."
(not live) /two-factor-authentication-explained-which-method-is-actually-safest,Two-Factor Authentication Explained: Which Method Is Actually Safest,Tech,2026-10-12,6,MERGE,Merge with another article,"Strongest technical piece in its batch, but directly overlaps the already-published ""How Two-Factor Authentication Actually Stops the Most Common Account Hacks."" Merge as an update/expansion of that article, not a new page."
(not live) /how-to-check-what-personal-data-google-has-on-you-and-delete-it,How to Check What Personal Data Google Has on You (And Delete It),Tech,2026-10-13,6,IMPROVE,Rewrite before publication,"Genuinely useful and currently accurate step-by-step content, weakened mainly by excessive keyword-driven subsection padding rather than factual problems. (quality 6/10)."
(not live) /what-a-vpn-actually-protects-you-from-and-what-it-does-not,"What a VPN Actually Protects You From, and What It Does Not",Tech,2026-10-14,6,IMPROVE,Rewrite before publication,"One of the more factually grounded pieces in the batch thanks to the specific, correctly-dated CERT-In regulation detail; still unsourced beyond that one citation. (quality 6/10)."
(not live) /how-to-spot-a-fake-job-offer-sent-over-whatsapp-or-telegram,How to Spot a Fake Job Offer Sent Over WhatsApp or Telegram,Career,2026-10-15,6,MERGE,Merge with another article,"Merge into scheduled ""How to Verify a Company Is Real Before Accepting a Job Offer"" — note that article is flagged Rebuild (incorrect GST portal URL) and should be corrected first."
(not live) /why-you-should-not-reuse-passwords-what-happens-when-one-site-gets-breached,Why You Should Not Reuse Passwords: What Happens When One Site Gets Breached,Tech,2026-10-16,6,IMPROVE,Rewrite before publication,"One of the more technically solid explainers in the batch; would benefit from an actual current breach statistic (e.g., a cited count of accounts in a known dataset) rather than only naming the checking tool. (quality 6/10)."
(not live) /how-to-set-up-a-password-manager-in-15-minutes,How to Set Up a Password Manager in 15 Minutes,Tech,2026-10-17,5,IMPROVE,Rewrite before publication,Practically useful step-by-step content undermined by the most extreme H2 fragmentation in the batch — nearly half the article is padding sections added after the actual seven-step tutorial is already complete. (quality 5/10).
(not live) /how-upi-fraud-actually-happens-the-five-warning-signs,How UPI Fraud Actually Happens: The Five Warning Signs,Finance,2026-10-18,5,HOLD FROM PUBLICATION,Rewrite before publication,Factually sound and India-appropriate but thin per-section depth with no unique data or first-hand incident. Cannibalizes how-to-report-a-fraudulent-upi-transaction-and-actually-get-your-money-back (prevention vs. recovery); differentiate clearly.
(not live) /what-end-to-end-encrypted-actually-means-for-an-app-you-use-daily,What End-to-End Encrypted Actually Means for an App You Use Daily,Tech,2026-10-19,6,IMPROVE,Rewrite before publication,"The clearest and most conceptually useful of the batch, but still fully generic — no unique data, screenshots, or India-specific angle to justify standalone existence over a good AI answer. (quality 6/10)."
(not live) /how-to-recognize-a-fake-loan-app-before-it-drains-your-bank-account,How to Recognize a Fake Loan App Before It Drains Your Bank Account,Finance,2026-10-20,6,IMPROVE,Rewrite before publication,"The most India-regulation-specific and actionable article in the batch, but still lacks any concrete example (a real app name, a real RBI list screenshot) that would move it past generic synthesis. (quality 6/10)."
(not live) /wired-vs-wireless-earbuds-what-you-actually-give-up-either-way,Wired vs Wireless Earbuds: What You Actually Give Up Either Way,Reviews,2026-10-21,5,MERGE,Merge with another article,"Directly competes with the already-published earbuds buying guide; fold the wired-vs-wireless trade-off content into ""How to Choose Budget Wireless Earbuds Under ₹2000"" rather than publishing a second earbuds article."
(not live) /power-bank-buying-guide-what-the-mah-number-does-not-tell-you,Power Bank Buying Guide: What the mAh Number Does Not Tell You,Reviews,2026-10-22,5,IMPROVE,Rewrite before publication,"Reasonably useful technical explanation but entirely generic and unverified by any actual product testing, typical mid-tier AI-mill output. (quality 5/10)."
(not live) /how-to-tell-if-a-deal-price-online-is-actually-a-discount,How to Tell If a Deal Price Online Is Actually a Discount,Finance,2026-10-23,5,IMPROVE,Rewrite before publication,"Longest article in the batch by word count but not by substance — never names a single actual tool, product, or price, undermining its own premise of teaching readers to verify real numbers. (quality 5/10)."
(not live) /ssd-vs-hdd-for-a-budget-laptop-where-the-money-should-actually-go,SSD vs HDD for a Budget Laptop: Where the Money Should Actually Go,Reviews,2026-10-24,5,IMPROVE,Rewrite before publication,Technically sound but fully generic; forms an unplanned-looking pair with the RAM article that competes for the same 'what matters most in a budget laptop' query. (quality 5/10).
(not live) /best-time-of-year-to-buy-electronics-in-india-what-the-sales-calendar-shows,Best Time of Year to Buy Electronics in India: What the Sales Calendar Shows,Finance,2026-10-25,4,HOLD FROM PUBLICATION,Rebuild,"Weakest scheduled article by the audit's own assessment: asserts which sale window has the ""deepest and widest discount window"" with zero supporting price data, named example, or past sale event anywhere. Needs real price-history research from scratch."
(not live) /how-to-spot-a-refurbished-phone-listed-as-new,How to Spot a Refurbished Phone Listed as New,Tech,2026-10-26,6,IMPROVE,Rewrite before publication,"The most concretely actionable and India-specific piece in the batch (CEIR + IMEI + battery health combo), still let down by zero first-hand demonstration or real device example. (quality 6/10)."
(not live) /prepaid-vs-postpaid-mobile-plans-which-actually-costs-less-over-a-year,Prepaid vs Postpaid Mobile Plans: Which Actually Costs Less Over a Year,Reviews,2026-10-27,4,HOLD FROM PUBLICATION,Rebuild,"Titled as a cost comparison and contains not a single price or number anywhere, including its own decision table. Needs to be rebuilt around actual plan prices."
(not live) /how-much-ram-you-actually-need-in-a-laptop-in-2026,How Much RAM You Actually Need in a Laptop in 2026,Tech,2026-10-28,5,IMPROVE,Rewrite before publication,Reasonably current framing (Electron bloat) but no actual measured data and forms a competing pair with the SSD/HDD article in the same batch. (quality 5/10).
(not live) /smartwatch-buying-guide-which-features-are-worth-paying-extra-for,Smartwatch Buying Guide: Which Features Are Worth Paying Extra For,Reviews,2026-10-29,5,IMPROVE,Rewrite before publication,Technically correct feature breakdown but entirely price-and-product-free despite being framed as a spend-your-money-wisely buying guide. (quality 5/10).
(not live) /how-to-check-a-products-real-reviews-instead-of-fake-ones,How to Check a Product's Real Reviews Instead of Fake Ones,Reviews,2026-10-30,5,IMPROVE,Rewrite before publication,Practically sound checklist but entirely generic advice-farm content; would benefit from at least one named platform/example before publication. (quality 5/10).
(not live) /how-to-extend-your-wi-fi-router-range-without-buying-a-new-one,How to Extend Your Wi-Fi Router Range Without Buying a New One,Tech,2026-10-31,4,MERGE,Merge with another article,"Substantially overlaps the already-published, higher-quality ""Why Your Wi-Fi Feels Slow in Certain Rooms"" (one of the site's five benchmark 7/10 articles). Merge as a section rather than competing with the stronger existing piece."
(not live) /how-to-tell-if-your-internet-plan-is-actually-giving-you-the-speed-you-pay-for,How to Tell If Your Internet Plan Is Actually Giving You the Speed You Pay For,Tech,2026-11-01,5,IMPROVE,Rewrite before publication,Solid procedural bones but needs named tools and a real documented example to move past generic advice. (quality 5/10).
(not live) /inverter-vs-ups-for-home-power-backup-what-is-the-real-difference,Inverter vs UPS for Home Power Backup — What Is the Real Difference,Reviews,2026-11-02,6,KEEP,Keep scheduled,"One of the stronger pieces in the batch — genuinely clarifies a common India-relevant confusion with correct technical distinctions, even without named sources. No duplication or cannibalization flagged; quality 6/10, the strongest tier in the scheduled queue."
(not live) /how-often-you-should-actually-clean-your-laptop-fans,How Often You Should Actually Clean Your Laptop Fans,Tech,2026-11-03,4,HOLD FROM PUBLICATION,Rewrite before publication,Genuinely thin (852 words) dressed up as 10 H2 sections; core maintenance tips are reasonable but need sourcing and could be told in half the length.
(not live) /how-to-set-up-a-smart-plug-and-what-it-is-actually-useful-for,How to Set Up a Smart Plug and What It Is Actually Useful For,Tech,2026-11-04,5,IMPROVE,Rewrite before publication,"Correctly diagnoses a real common setup failure (band mismatch) which is its best asset, but is otherwise generic and needs named products/brands to feel substantive. (quality 5/10)."
(not live) /ro-vs-uv-water-purifier-which-one-your-water-actually-needs,RO vs UV Water Purifier — Which One Your Water Actually Needs,Reviews,2026-11-05,6,KEEP,Keep scheduled,"One of the more genuinely useful pieces — concrete decision framework tied to a measurable number (TDS) rather than vague generalities, appropriate for Indian groundwater/municipal-supply variation. No duplication or cannibalization flagged; quality 6/10, the strongest tier in the scheduled queue."
(not live) /how-to-extend-a-phone-battery-lifespan-over-years-not-just-a-day,"How to Extend a Phone Battery Lifespan Over Years, Not Just a Day",Tech,2026-11-06,5,MERGE,Merge with another article,Competes directly with the already-published battery-chemistry explainer for the same search intent. Merge as a practical-tips section on that page.
(not live) /how-to-choose-between-a-split-ac-and-a-window-ac-for-a-small-room,How to Choose Between a Split AC and a Window AC for a Small Room,Reviews,2026-11-07,6,KEEP,Keep scheduled,"Above-average for the batch due to genuinely India-specific structural details (society rules, façade restrictions), though still lacks real pricing data that a genuine buying guide should have. No duplication or cannibalization flagged; quality 6/10, the strongest tier in the scheduled queue."
(not live) /how-to-set-up-a-home-wi-fi-guest-network-and-why-you-should,"How to Set Up a Home Wi-Fi Guest Network, and Why You Should",Tech,2026-11-08,5,IMPROVE,Rewrite before publication,The 'isolation setting vs just a second SSID' point is genuinely useful and specific; the rest is generic padding that could be trimmed. (quality 5/10).
(not live) /how-to-reduce-your-electricity-bill-without-changing-your-lifestyle-much,How to Reduce Your Electricity Bill Without Changing Your Lifestyle Much,Finance,2026-11-09,6,KEEP,Keep scheduled,"Best India-localization in the batch (slab billing, geysers, rooftop solar subsidy mentions) even though it lacks a named board/tariff to anchor the claims. No duplication or cannibalization flagged; quality 6/10, the strongest tier in the scheduled queue."
