"URL","Title","Author","Status","Publish Date","Scheduled Date","Category","Tags","Word Count","Main Topic","Search Intent","Content Type","Originality","Evidence","Sources","First-Hand Experience","Factual Claims","AI-Generic Characteristics","Potential Duplication","Potential Cannibalization","Quality Score","Recommended Action","Notes"
"https://techpulzo.in/git-and-github-for-complete-beginners-a-step-by-step-guide","Git and GitHub for Complete Beginners: A Step-by-Step Guide","Muthu","PUBLISHED","2026-07-08","","Tutorials","git; github; coding; beginners","1197","Beginner tutorial on Git and GitHub fundamentals","informational","Tutorial","Standard Git-tutorial territory covered by thousands of existing guides, but executed with real, concrete, technically accurate command syntax throughout (git status/add/commit/push/pull, git checkout -b, git revert, resolving merge conflicts, .gitignore mechanics) rather than vague generalities — more genuinely instructive than most of the batch.","No screenshots despite imgCount 1 and no personal project walkthrough, but the article does provide concrete, checkable technical content (actual commands and correct explanations of their behavior), which counts as real substance even without external sourcing.","none named, but the technical claims are checkable against Git's own documented behavior and appear accurate","none — no first-person claims detected, purely instructional voice","Technical claims (e.g., git revert creates a new commit rather than rewriting history, deleting a committed secret doesn't remove it from history, .gitignore doesn't retroactively untrack files) are all accurate as stated; no India-specific or numeric claims requiring verification.","formulaic Step 1-3 + 'Where Beginners Go Wrong' + FAQ padding template shared with other articles on this site; some padded bonus sections toward the end ('Reading a Commit History Like a Story') that add length without much new depth","none","none identified","6","KEEP","Technically the most substantively accurate and concrete article in the batch, despite following the same padded-section template seen across the rest of the site."
"https://techpulzo.in/how-to-prepare-for-a-technical-interview-a-step-by-step-guide-for-freshers","How to Prepare for a Technical Interview: A Step-by-Step Guide for Freshers","Muthu","PUBLISHED","2026-07-08","","Career","interview; career; freshers; coding-interview","1507","Four-week technical interview preparation plan for fresher software engineers in India","informational / commercial-investigation","How-to guide","Contains a genuinely specific, non-obvious observation — that candidates who talk through a partially-correct solution often score better than silent candidates who get it right — sustained by a consistent interviewer-perspective voice throughout ('the other side of this table'), which is a more distinctive angle than the rest of the batch, though it remains unverifiable and the underlying four-week structure (DSA, patterns, CS fundamentals, mocks) is common advice.","No named data or study, but the specific behavioral anecdotes (silent-but-correct candidate scoring worse, a candidate losing an offer by getting defensive on a follow-up) read as plausible, consistent first-hand observation rather than generic filler.","generic mentions only — but usefully specific: names real practice platforms (LeetCode, HackerRank, Pramp, interviewing.io) and real Indian salary-research sites (AmbitionBox, Glassdoor) correctly matched to their actual use cases","specific and plausible — sustained 'I've interviewed freshers for my team' framing with concrete, consistent anecdotes (not just a single generic line) is the most convincing first-person voice in the batch, though still not independently verifiable","No dubious or unsourced statistics; claims are behavioral/advice-based rather than numeric, and the named tools/platforms are accurately categorized for their real-world purpose.","formulaic Week 1-4 + FAQ template shared with other site articles; some redundant padded sections near the end restating similar advice ('What to Do If You Freeze Completely', 'Why Dressing and Setting Up Properly... Still Matters')","none","complete-guide-to-getting-a-software-job-in-india-without-a-degree (overlapping interview-prep content)","7","KEEP","Strongest article in the batch — a specific, plausible, non-generic insight about interview communication carries the piece above the site's usual generic-listicle baseline."
"https://techpulzo.in/zero-based-budgeting-how-to-build-a-budget-that-actually-works","Zero-Based Budgeting: A Practical Guide to Giving Every Rupee a Job","Muthu","PUBLISHED","2026-07-08","","Finance","budgeting; personal-finance; money; savings","1186","Zero-based budgeting method for personal budgeting (Indian rupee context)","informational (how to build a budget)","How-to guide","Generic personal finance method explanation that any AI or the first Google result already covers; the ₹40,000 worked example is the only distinguishing element, and it's an invented illustrative template rather than a real case study.","No real evidence — the ""worked example"" is an invented illustrative budget, not documented real data; the rest is general assertion.","generic mentions only — names YNAB and unspecified ""Indian apps"" without detail, no data source cited","claimed but generic (""This used to be me"" / ""My first month's categories were mostly guesses"" — no specific numbers, employer, or timeframe given)","₹40,000 example budget breakdown is arithmetically consistent but purely illustrative; comparison to the 50/30/20 rule is standard and unsourced; no clearly wrong facts, but nothing verifiable either.","23 headers across 1186 words — PAA-style question stuffing; formulaic 'Why X Trips People Up' sections with no unique data; generic hedge-filled advice interchangeable with any budgeting article; vague personal anecdote with no verifiable specifics","none","how-to-turn-a-spreadsheet-into-a-simple-budget-tracker, how-to-track-where-your-salary-actually-goes-every-month (both SCHEDULED, same budgeting/money-tracking intent)","5","IMPROVE","Competent, readable Indian-context budgeting guide but over-sectioned and generically interchangeable with any AI-written budgeting article; will compete with two scheduled budget-tracking posts."
"https://techpulzo.in/time-blocking-the-productivity-method-that-actually-works","Time Blocking: A Step-by-Step Guide to Scheduling Your Day Around Real Priorities","Muthu","PUBLISHED","2026-07-08","","Tech","productivity; time-management; time-blocking","1181","Time blocking as a scheduling/productivity method","informational","How-to guide","Standard productivity-blog content (time blocking vs Pomodoro, Google Calendar setup) — nothing here isn't already covered by the top three Google results for this exact topic.","None — no data, no study citations, entirely general assertion and an invented template schedule.","none","claimed but generic (regex correctly flagged ""I ran a to-do list app for years"" — no app name, no numbers, no dates)","No numeric or verifiable claims beyond generic heuristics (25% time-estimate padding, 15-30 min buffers) presented as settled advice without sourcing.","21 headers over 1181 words, PAA-question format; formulaic 'X vs Y' subsection (Pomodoro) that pads length rather than adds depth; generic hedge-everything FAQ; could apply to any country or job","none","how-to-batch-small-tasks-so-they-stop-interrupting-deep-work (SCHEDULED — this article's own 'Batch the small stuff' section covers the same idea), how-to-run-a-weekly-review-that-actually-changes-what-you-do (SCHEDULED — this article already has a full 'Reviewing the Week' section)","4","IMPROVE","Miscategorized under Tech despite being a pure productivity piece, and its own subsections pre-empt two other scheduled articles' entire topics."
"https://techpulzo.in/how-to-build-an-emergency-fund-from-scratch-whatever-your-income","How to Build an Emergency Fund From Scratch, Whatever Your Income","Muthu","PUBLISHED","2026-07-08","","Finance","emergency-fund; savings; personal-finance","1510","Building an emergency fund with milestone savings targets (India-specific)","informational","How-to guide","Covers standard 3-6-months-of-expenses advice found everywhere; the four-milestone framing and the friend's ₹42,000 laptop anecdote are the only distinguishing touches, but the milestones are just standard advice broken into steps.","A 'Realistic Example' table (months to reach milestones by savings rate) is basic arithmetic presented as data, not independently verified figures; otherwise general assertion.","none — no citation despite discussing specific interest-rate and return figures","claimed but generic (""I built mine slower than I'd like to admit"" — no numbers or timeline given for the author's own fund)","States credit card/personal loan interest as '18-40%' and liquid fund/savings returns as '3-6%' — plausible Indian ranges but asserted without any source; no clearly wrong facts but presented with unearned authority.","23 headers over 1510 words; long tail of 'Why X Matters' sections (joint fund rules, job-change scenario, rounding up UPI payments) reading as auto-expanded FAQ padding; generic universal advice not tied to a specific reader scenario beyond boilerplate 'freelancer vs salaried'","none","how-to-save-1-lakh-in-one-year-on-a-30000-salary (published — overlapping 'save money on a tight budget' intent), the-real-difference-between-a-fixed-deposit-and-a-recurring-deposit (SCHEDULED, touches 'where to keep savings')","5","IMPROVE","Well-organized and India-localized but the interest-rate and returns figures are stated as fact with zero sourcing."
"https://techpulzo.in/how-to-write-a-resume-that-actually-gets-shortlisted","How to Write a Resume That Gets Shortlisted","Muthu","PUBLISHED","2026-07-08","","Career","resume; career; job-search","1525","Resume writing advice: bullet points, ATS, formatting","informational","How-to guide","The before/after bullet-point table is a genuinely useful concrete device, but the underlying advice (quantify achievements, one-page rule, ATS keyword matching) matches virtually every resume-advice article and any AI chatbot's stock answer.","Before/after bullet examples are invented illustrations, not real resumes; the 'six seconds' scanning claim is stated as fact with no citation.","none — the widely-circulated 'six second scan' statistic is repeated as unqualified fact with no attribution","claimed but generic (""I've screened resumes for open roles on my own team"" — no company, role, industry, or resume count given, so unverifiable)","The 'six seconds' recruiter-scan-time claim is a widely-repeated but unsourced/likely-outdated statistic; PDF-vs-Word and ATS-keyword advice is standard and plausible; no India-specific inaccuracies found.","20 H2 headers, zero H3, over 1525 words — flat list-of-questions structure typical of AI FAQ expansion; repeats the unsourced 'six second scan' stat as unqualified fact; 'Two Questions I Get Asked a Lot' framing device with no evidence these were real questions; generic advice applicable to any country's job market","none","how-applicant-tracking-systems-actually-filter-resumes (SCHEDULED — this article's own 'Getting Past Applicant Tracking Systems' section covers the same ground), how-to-build-a-linkedin-profile-that-recruiters-actually-find (SCHEDULED — overlaps with this article's 'LinkedIn and Resume Consistency' section)","5","IMPROVE","The before/after table is the strongest single element; everything else is genre-standard resume advice repeated across the internet."
"https://techpulzo.in/sql-basics-the-queries-every-beginner-should-actually-know","SQL Basics: The Queries Every Beginner Should Know","Muthu","PUBLISHED","2026-07-08","","Tutorials","sql; databases; coding; beginners","1114","Ten core SQL query patterns for beginners with runnable examples","informational","Tutorial","The SQL code snippets are correct and testable, more concrete than a typical AI listicle, but the same ten-query set (SELECT/WHERE/JOIN/GROUP BY etc.) is what any SQL tutorial, including a default ChatGPT answer, would produce.","The code examples themselves are concrete, verifiable, runnable evidence — more than most articles in this batch offer.","generic mentions only — names SQLite, Neon, Supabase as practice platforms, no other citations","claimed but generic (""I've watched a teammate [run DELETE without WHERE] on a staging database"" — plausible dev-team anecdote but no specifics)","Technical claims (WHERE column = NULL never matches, INNER vs LEFT JOIN behavior, EXPLAIN command) are all accurate standard SQL behavior; no factual errors detected.","18 H2 headers with zero H3 over 1114 words — one query per heading, mechanical structure; generic 'Two Questions Beginners Always Ask' filler framing","none","how-database-indexes-actually-work (published — this article's own 'Understanding Indexes, Briefly' section pre-empts that dedicated article's entire subject)","6","IMPROVE","The strongest article in this batch on technical-accuracy grounds because the code is real and correct, but it's still a completely standard 'SQL basics' listicle."
"https://techpulzo.in/voice-access-how-to-control-your-android-phone-using-just-your-voice","Voice Access: How to Control Your Android Phone Using Just Your Voice","Muthu","PUBLISHED","2026-07-08","","Tech","voice; voice-access; android; accessibility","1172","How to set up and use Google's Voice Access app on Android","informational, navigational-adjacent (single named product)","How-to guide","The core setup steps largely restate Google's own documentation; the Voice-Access-vs-Assistant distinction and accessibility framing add some genuine explanatory value beyond a bare tutorial.","No data or screenshots described in the text despite imgCount:1; general assertion throughout, though the listed commands are accurate to the real product.","none — no citation of Google's documentation despite describing an official Google feature","specific and plausible (""I started using it while cooking, with flour on both hands"" is a concrete, specific sensory detail rather than a generic claim)","Describes Voice Access as free/official and gives generic UI/command claims accurate to the real product; no numeric or verifiable claims that could be wrong.","16 headers over 1172 words; 'A Few Practical Questions' FAQ-dump structure; generic reassurance closer ('You don't need to become an accessibility expert...')","none","none","6","KEEP","One of the more specific/plausible first-person moments in the batch (the flour anecdote) and covers a genuine, narrow, non-cannibalized topic."
"https://techpulzo.in/how-to-speed-up-a-slow-android-phone-without-buying-a-new-one","How to Speed Up a Slow Android Phone in 2026 — Without Buying a New One","Muthu","PUBLISHED","2026-07-18","","Tech","android; phone; tech; tools","1503","Fixing a slow Android phone without replacing it","informational, commercial-investigation adjacent (framed against buying a replacement)","How-to guide","Standard 'clear cache, disable animations, factory reset' advice nearly identical to every Android tips site; the storage-type (eMMC vs UFS) and thermal-throttling-from-case sections add slightly more depth than average.","No benchmarks or before/after speed numbers despite the topic being inherently measurable; the '90% full' threshold is stated as fact with no source.","none","claimed but generic (""My own phone did this to me last year"" — no phone model, no measured improvement, no specifics)","Asserts Android slows 'hard' past ~90% storage as an unsourced specific threshold; ₹15,000+ replacement cost is a reasonable India-context estimate; eMMC-vs-UFS and thermal-throttling claims are technically plausible but unverified for any specific device.","18 H2 headers with zero H3 over 1503 words; long tail of 'Why X Genuinely Helps, Not Just Superstition' sections reading as auto-expanded filler; unsourced specific numeric threshold (90% storage) stated as fact; generic advice applicable to any Android phone in any country","none","how-to-free-up-storage-on-your-phone-without-deleting-photos-you-want (SCHEDULED — this article's 'Check Storage First' section already covers that exact topic), digital-decluttering-how-to-clean-up-years-of-phone-photos-and-files (SCHEDULED, same storage-cleanup ground)","5","IMPROVE","No actual measured speed data despite being a performance article, and its own storage-cleanup section directly overlaps two scheduled posts on the same narrow topic."
"https://techpulzo.in/google-drive-vs-onedrive-vs-icloud-which-cloud-storage-to-use","Google Drive vs OneDrive vs iCloud in 2026 — Which Cloud Storage Fits You","Muthu","PUBLISHED","2026-07-18","","Tech","tech; tools; productivity","1133","Comparing Google Drive, OneDrive, and iCloud for storage/ecosystem fit","commercial-investigation (choosing between competing products)","Comparison","Ecosystem-fit framing ('if you use Windows and Office' etc.) is standard comparison-shopping content available on any tech review site; nothing reflects hands-on testing of the services' current storage tiers or pricing.","No screenshots, no measured sync speeds, no cited storage-tier pricing despite this being a comparison where such data is the whole point.","none","claimed but generic (""I was paying for two cloud subscriptions myself"" — no named services, no dates, no amounts)","States Google Drive free tier as 15GB and OneDrive/iCloud as 5GB — plausible but unsourced and unconfirmed as current for 2026, which is risky in a comparison piece whose entire value is accurate current figures.","11 headers over 1133 words; generic ecosystem-fit framing interchangeable with any Drive/OneDrive/iCloud comparison written in any year; unverified/undated storage-tier figures stated as current fact","none","none","5","IMPROVE","A reasonable ecosystem-fit comparison but the storage-tier and pricing figures are asserted without verification or a stated as-of date."
