id,url,title,status,category,current_author,current_word_count,recommended_action,quality_score,originality_score,factual_risk,information_gain_score,first_hand_experience_potential,duplicate_risk,cannibalization_risk,reason,required_human_input,target_article_if_merge,priority
11,https://techpulzo.in/git-and-github-for-complete-beginners-a-step-by-step-guide,Git and GitHub for Complete Beginners: A Step-by-Step Guide,PUBLISHED,Tutorials,Muthu,1197,KEEP,6,6,Low,6,5,6,0,"Real, technically accurate command syntax and correct explanations of Git internals — more substantively useful than most of the catalog despite following the site's generic template.",None — ready as-is,,P3
12,https://techpulzo.in/how-to-prepare-for-a-technical-interview-a-step-by-step-guide-for-freshers,How to Prepare for a Technical Interview: A Step-by-Step Guide for Freshers,PUBLISHED,Career,Muthu,1507,KEEP,7,8,Low,7,7,3,4,"One of the site's five benchmark articles — a specific, plausible, sustained interviewer-perspective insight (talking through partial answers) that clears the generic-advice bar the rest of the catalog doesn't.",None — ready as-is,,P3
13,https://techpulzo.in/zero-based-budgeting-how-to-build-a-budget-that-actually-works,Zero-Based Budgeting: A Practical Guide to Giving Every Rupee a Job,PUBLISHED,Finance,Muthu,1186,IMPROVE,5,3,Medium,3,2,8,8,"Coherent India-context budgeting method article; designated the canonical survivor for the site's budgeting-tracker cluster, absorbing the redundant salary-tracking article — needs real named app examples and heavy H2 trimming.",Add real named budgeting app examples and trim excess H2 sections,,P1
14,https://techpulzo.in/time-blocking-the-productivity-method-that-actually-works,Time Blocking: A Step-by-Step Guide to Scheduling Your Day Around Real Priorities,PUBLISHED,Tech,Muthu,1181,IMPROVE,4,2,Low,2,2,8,9,Miscategorized under Tech; needs recategorizing to Productivity and trimming since its own subsections currently pre-empt two other productivity articles' entire topics.,Recategorize from Tech to Productivity and trim sections duplicating two scheduled articles,,P1
15,https://techpulzo.in/how-to-build-an-emergency-fund-from-scratch-whatever-your-income,"How to Build an Emergency Fund From Scratch, Whatever Your Income",PUBLISHED,Finance,Muthu,1510,IMPROVE,5,3,Medium,3,2,7,7,Reasonable milestone framing; interest-rate and return figures are stated with unearned authority and need sourcing.,Source the credit-card/loan interest rate and investment return figures cited,,P1
16,https://techpulzo.in/how-to-write-a-resume-that-actually-gets-shortlisted,How to Write a Resume That Gets Shortlisted,PUBLISHED,Career,Muthu,1525,IMPROVE,5,4,Medium,4,2,8,8,"Canonical survivor for the resume/ATS merge pair; the before/after bullet table is a genuine asset, but the unsourced 'six second scan' statistic needs a citation or removal.",Cite or remove the unsourced 'six second scan' statistic,,P1
17,https://techpulzo.in/sql-basics-the-queries-every-beginner-should-actually-know,SQL Basics: The Queries Every Beginner Should Know,PUBLISHED,Tutorials,Muthu,1114,IMPROVE,6,5,Low,6,3,7,8,"Real, runnable, correct SQL code — genuinely more concrete than most of the catalog — but its own indexing section pre-empts the dedicated database-indexes article and needs trimming/cross-linking.",Trim the indexing section and cross-link to the dedicated database-indexes article,,P1
18,https://techpulzo.in/voice-access-how-to-control-your-android-phone-using-just-your-voice,Voice Access: How to Control Your Android Phone Using Just Your Voice,PUBLISHED,Tech,Muthu,1172,KEEP,6,5,Low,5,7,4,0,"One of the more specific, plausible first-hand moments on the site (using it one-handed while cooking) on a genuinely narrow, non-cannibalized topic.",None — ready as-is,,P3
19,https://techpulzo.in/how-to-speed-up-a-slow-android-phone-without-buying-a-new-one,How to Speed Up a Slow Android Phone in 2026 — Without Buying a New One,PUBLISHED,Tech,Muthu,1503,IMPROVE,5,3,Medium,3,2,8,8,No actual measured before/after speed data despite being a performance article; its own storage-cleanup section should be trimmed and cross-linked to the canonical decluttering article rather than duplicated.,Add real before/after speed benchmarks and cross-link the storage-cleanup section,,P1
20,https://techpulzo.in/google-drive-vs-onedrive-vs-icloud-which-cloud-storage-to-use,Google Drive vs OneDrive vs iCloud in 2026 — Which Cloud Storage Fits You,PUBLISHED,Tech,Muthu,1133,IMPROVE,5,2,Medium,2,2,8,0,"Reasonable ecosystem-fit comparison undermined by unverified, undated storage-tier and pricing figures that are exactly the kind of detail a comparison article needs to get right.",Verify and date the current storage-tier and pricing figures for each service,,P1
21,https://techpulzo.in/how-to-negotiate-your-salary-in-india-what-actually-works,How to Negotiate Your Salary in India — What Works,PUBLISHED,Career,Muthu,1541,IMPROVE,6,6,High,6,6,5,9,"Canonical survivor for the four-article salary-negotiation cluster (absorbing the counteroffer, non-salary-levers, and ask-for-a-raise articles); needs the unverified 'several Indian states' salary-history-ban claim fact-checked before further reliance.",Fact-check or remove the unverified 'several Indian states' salary-history-ban claim,,P1
22,https://techpulzo.in/docker-for-complete-beginners-what-it-actually-solves,Docker for Complete Beginners: What It Solves and How to Get Started,PUBLISHED,Tutorials,Muthu,1112,KEEP,6,4,Low,6,3,7,0,"Real, syntactically correct Docker commands and a working Dockerfile example make this genuinely more substantive than a typical beginner tutorial.",None — ready as-is,,P3
23,https://techpulzo.in/credit-score-in-india-how-it-works-and-how-to-fix-it,Credit Score in India: How It Works and How to Fix a Bad One,PUBLISHED,Finance,Muthu,1109,REBUILD,4,1,High,1,2,8,7,"Presents what appears to be the US FICO scoring model's weightings as if they were India/CIBIL-specific — a factual error at the article's core, not a sourcing gap. Canonical target for the CIBIL-free-check merge, but must be corrected first.",Replace the US FICO-based weighting table with verified CIBIL-specific figures,,P1
24,https://techpulzo.in/why-your-wifi-feels-slow-in-certain-rooms-router-placement,Why Your Wi-Fi Feels Slow in Certain Rooms — The Real Physics Behind Router Placement,PUBLISHED,Tech,Muthu,1199,KEEP,7,8,Low,8,8,2,6,The site's strongest article — genuine physics-based explanation with specific measured Mbps figures and a correct wall-material attenuation table. Canonical target absorbing the scheduled router-range-extension article.,None — ready as-is; resolve the scheduled router-extension article overlap,,P1
25,https://techpulzo.in/how-database-indexes-actually-work,How Database Indexes Work — Why the Same Query Can Take 2ms or 8 Seconds,PUBLISHED,Tutorials,Muthu,1123,KEEP,6,6,Low,6,2,5,0,Goes beyond the common phone-book analogy with a genuine composite-index and EXPLAIN ANALYZE walkthrough; technically sound and non-cannibalized.,None — ready as-is,,P3
26,https://techpulzo.in/is-an-mba-actually-worth-it-in-india-the-real-math,Is an MBA Worth It in India in 2026 — The Real Math,PUBLISHED,Career,Muthu,1074,IMPROVE,5,5,Medium,5,2,5,0,"Worked break-even math is a genuinely useful framework, but every rupee figure is an unsourced estimate that needs grounding in real 2026 placement data.",Ground the MBA cost and placement salary figures in cited 2026 data,,P2
27,https://techpulzo.in/how-much-home-loan-you-can-actually-afford,How Much Home Loan You Can Afford — The Math Banks Don't Show You,PUBLISHED,Finance,Muthu,1063,IMPROVE,5,5,Medium,4,2,5,0,"Useful FOIR-vs-real-affordability framework undercut by unsourced rate figures reused verbatim from another article in the same batch, a templating signature that needs fixing with real sourcing.","Source the FOIR, stamp duty, and loan-interest figures instead of reused numbers",,P2
28,https://techpulzo.in/why-your-phone-battery-degrades-over-time-the-real-chemistry,Why Your Phone Battery Degrades Over Time — The Real Chemistry Behind It,PUBLISHED,Tech,Muthu,1034,IMPROVE,5,2,Medium,2,1,7,8,Canonical survivor for the battery-degradation cluster (absorbing the scheduled 'extend battery lifespan' article); the first-hand battery-check anecdote conspicuously omits the one number it claims to have checked — fix that and source the degradation figures.,State the actual battery-health percentage the first-hand anecdote claims to check,,P1
29,https://techpulzo.in/why-just-learn-to-code-doesnt-get-freshers-hired-in-2026,"Why ""Just Learn to Code"" Doesn't Get Freshers Hired in 2026",PUBLISHED,Career,Muthu,1061,MAJOR REWRITE,4,2,Medium,2,1,7,7,"Rests its entire thesis on an unsubstantiated hiring-authority claim ('I've reviewed enough fresher applications') with zero concrete example — the weakest credibility signal on the site; needs real examples or a full reframe, not a light edit.","Add concrete candidate examples to substantiate the hiring-authority claims, or reframe",,P2
30,https://techpulzo.in/buying-vs-leasing-a-car-in-india-the-real-math,Buying vs Leasing a Car in India — The Math Most People Get Wrong,PUBLISHED,Finance,Muthu,1134,IMPROVE,5,5,Medium,4,2,5,0,"Genuine attempt at worked numbers, but reuses the same vague-relative-anecdote template and interest-rate figure as sibling articles; needs real lender/leasing-company sourcing.","Source the loan-interest, depreciation, and lease-rate figures from real lenders",,P2
31,https://techpulzo.in/how-https-actually-works-behind-the-padlock,How HTTPS Works — What's Really Happening Behind the Padlock,PUBLISHED,Tutorials,Muthu,1093,KEEP,6,6,High,6,2,5,0,Accurate certificate-trust walkthrough with a nice specific touch — uses techpulzo.in itself as the certificate example.,Update the certificate-validity claim to the current 200-day CA/Browser Forum maximum,,P1
32,https://techpulzo.in/how-facial-recognition-unlock-actually-works-on-your-phone,How Facial Recognition Unlock Works on Your Phone,PUBLISHED,Tech,Muthu,1075,KEEP,7,8,Low,8,5,2,0,"One of the site's five benchmark articles — cites Android's actual BiometricPrompt security classes and Apple's documented twin-spoofing caveat, genuinely beyond a generic AI answer.",None — ready as-is,,P3
33,https://techpulzo.in/how-your-phone-knows-your-location-even-with-gps-off,How Your Phone Knows Your Location Even With GPS Off,PUBLISHED,Tech,Muthu,1065,KEEP,7,7,Low,7,5,3,0,"Benchmark article — correctly uses India's 112 emergency-call location bypass, a specific detail a generic version of this topic omits.",None — ready as-is,,P3
34,https://techpulzo.in/how-autocorrect-actually-decides-what-you-meant-to-type,How Autocorrect Actually Decides What You Meant to Type,PUBLISHED,Tech,Muthu,1079,KEEP,7,7,Low,7,5,3,0,Benchmark article — concrete contrasting examples and a genuine India-specific detail (Hindi/regional code-switching) a generic answer is unlikely to surface unprompted.,None — ready as-is,,P3
35,https://techpulzo.in/how-streaming-quality-adjusts-automatically-to-your-internet-speed,How Streaming Quality Adjusts Automatically to Your Internet Speed,PUBLISHED,Tech,Muthu,1085,KEEP,6,5,Low,5,5,5,3,Reasonably specific and technically accurate explanation of adaptive bitrate streaming (HLS/MPEG-DASH); clean of duplication and cannibalization concerns.,None — ready as-is,,P3
36,https://techpulzo.in/how-your-phone-fast-charging-actually-works-and-why-it-slows-down-near-80-percent,"How Your Phone's Fast Charging Works, and Why It Slows Down Near 80 Percent",PUBLISHED,Tech,Muthu,1146,KEEP,6,7,Low,5,5,4,6,Genuine mechanism-specific explanation (CC/CV charging curve) distinct enough from the sibling battery-degradation article to stand alone.,Cite the ~4.2V-per-cell ceiling and CV transition point figures,,P1
37,https://techpulzo.in/how-google-maps-knows-there-is-traffic-ahead,How Google Maps Knows There Is Traffic Ahead,PUBLISHED,Tech,Muthu,1106,NOINDEX,5,1,Low,1,5,9,0,"Accurate synthesis of publicly available mechanism knowledge with zero original data or citation; will never out-compete Google's own documentation for this query — keep on-site, don't position as search-facing content.","None — NOINDEX candidate, no further action needed",,P3
38,https://techpulzo.in/how-voice-assistants-actually-understand-what-you-are-saying,How Voice Assistants Actually Understand What You Are Saying,PUBLISHED,Tech,Muthu,1126,NOINDEX,5,2,Low,2,2,8,0,"Standard ASR/NLU explainer built on the same reused template as its sibling 'how it works' articles, with no unique data; not genuinely competitive search content.",None — NOINDEX candidate; replace the hypothetical Aishwarya example if ever revived,,P3
39,https://techpulzo.in/how-your-bank-sends-an-otp-in-under-two-seconds,How Your Bank Sends an OTP in Under Two Seconds,PUBLISHED,Tech,Muthu,1015,IMPROVE,6,6,Medium,5,5,4,1,The most India-specific piece in its cluster (DLT/TRAI/SMPP regulatory detail); needs the regulatory claims cited to a specific circular.,Cite the TRAI/DLT/SMPP claims to a specific circular or official source,,P1
40,https://techpulzo.in/why-video-calls-lag-even-with-fast-internet,Why Video Calls Lag Even With Fast Internet,PUBLISHED,Tech,Muthu,1097,NOINDEX,5,1,Low,1,5,9,7,"Standard bandwidth-vs-latency explainer with no measured data or unique angle, overlapping the WiFi-placement article; accurate but not competitive search content.",None — NOINDEX candidate; consolidate 2.4/5GHz content with the WiFi-placement article,,P3
41,https://techpulzo.in/how-ad-targeting-actually-follows-you-between-apps,How Ad Targeting Follows You Between Apps,PUBLISHED,Tech,Muthu,1052,NOINDEX,5,2,Low,2,5,8,2,"Correct but widely-covered myth-debunking content with no named case, data broker report, or unique angle; keep on-site as reference, don't position for search.",None — NOINDEX candidate; a named FTC/CCI case would help if revived,,P3
42,https://techpulzo.in/google-sheets-vs-excel-which-one-actually-fits-how-you-work,Google Sheets vs Excel — Which One Fits How You Work,PUBLISHED,Reviews,Muthu,1199,IMPROVE,5,3,High,3,1,7,5,"Reasonable comparison missing real INR Microsoft 365 pricing despite discussing cost as a deciding factor for an Indian audience — a concrete, fixable gap.","Add real INR Microsoft 365 pricing (₹689/mo Personal, ₹819/mo Family)",,P1
43,https://techpulzo.in/how-to-automate-a-repetitive-task-without-learning-to-code,How to Automate a Repetitive Task Without Learning to Code,PUBLISHED,Productivity,Muthu,1516,MAJOR REWRITE,4,3,Low,2,2,8,0,"The clearest H2-padding case in the catalog (18 sections for a topic needing 6-8); needs real screenshots of an actual built automation and real current free-tier data, not a trim.",Add real screenshots of an actual built automation and current free-tier pricing,,P2
44,https://techpulzo.in/notion-vs-google-docs-what-each-one-is-actually-built-for,Notion vs Google Docs — What Each One Is Actually Built For,PUBLISHED,Reviews,Muthu,930,IMPROVE,5,3,High,3,1,7,9,Canonical survivor of the two on-site 'Notion vs X' comparisons; needs real INR pricing and an actual migration test rather than generic feature description.,Add real INR Notion pricing and consolidate with the Notion-vs-Keep-vs-Obsidian article,,P1
45,(not live) /how-to-use-google-alerts-to-track-anything-automatically,How to Use Google Alerts to Track Anything Automatically,SCHEDULED,Tech,Muthu,1510,IMPROVE,4,3,Low,2,1,8,0,21 H2 sections (roughly 4x what the topic needs) and zero screenshots of the actual setup screen; mechanically accurate and fixable with a trim and real UI images.,Trim from 21 H2s to about 6 and add real screenshots of the setup screen,,P2
46,(not live) /how-to-turn-a-spreadsheet-into-a-simple-budget-tracker,How to Turn a Spreadsheet Into a Simple Budget Tracker,SCHEDULED,Finance,Muthu,1536,MAJOR REWRITE,4,3,Low,2,1,7,6,"A spreadsheet tutorial that never shows an actual formula, screenshot, or downloadable template fails on its own central promise; needs a real worked template, not just trimming.",Add an actual worked spreadsheet template with real SUMIF formulas and a screenshot,,P2
47,(not live) /free-vs-paid-antivirus-in-2026-do-you-actually-need-to-pay,Free vs Paid Antivirus in 2026 — Do You Need to Pay,SCHEDULED,Reviews,Muthu,880,IMPROVE,5,5,Medium,4,1,6,3,"Names AV-Test/AV-Comparatives but cites no actual score, date, or link — a borrowed-credibility pattern fixable with one real citation.",Cite one real AV-Test/AV-Comparatives score with date and link,,P1
48,(not live) /how-to-back-up-your-phone-so-a-lost-device-does-not-cost-you-your-photos,How to Back Up Your Phone So a Lost Device Does Not Cost You Your Photos,SCHEDULED,Tech,Muthu,1525,IMPROVE,4,3,Low,3,1,8,5,19 H2 sections for a topic needing about 6; the core 4-step backup process is accurate and just needs trimming and an India-specific detail.,Trim from 19 H2s to about 6 and add real Settings screenshots plus an India detail,,P2
49,(not live) /how-to-compress-a-large-file-without-losing-quality,How to Compress a Large File Without Losing Quality,SCHEDULED,Tech,Muthu,1525,IMPROVE,5,2,Medium,2,1,8,0,Structurally sound and factually reasonable but generic; needs named tools and real test numbers to justify its own 40-70% size-reduction claim.,Name actual compression tools and show real before/after size-reduction test numbers,,P2
50,(not live) /chrome-vs-firefox-vs-edge-does-the-browser-you-pick-actually-matter,Chrome vs Firefox vs Edge — Does the Browser You Pick Actually Matter,SCHEDULED,Reviews,Muthu,841,IMPROVE,5,2,Medium,2,1,8,0,"Reasonable four-axis framing needs actual measured comparisons (RAM under N tabs, real extension gaps) instead of generic assertion.",Add actual measured RAM/battery benchmarks across the three browsers under N tabs,,P2
51,(not live) /how-to-set-up-parental-controls-without-making-a-teenager-furious,How to Set Up Parental Controls Without Making a Teenager Furious,SCHEDULED,Tech,Muthu,1528,REBUILD,4,1,Low,1,1,9,0,Promise/delivery mismatch: a reader searching for parental-control setup steps gets relationship advice with zero actual Family Link/Screen Time instructions. Earliest-dated Rebuild item in the queue (2026-08-21) and a real credibility risk if it auto-publishes as-is.,Rebuild with actual Family Link/Screen Time setup steps and screenshots before it auto-publishes,,P1
52,(not live) /how-to-actually-cancel-a-subscription-you-forgot-you-had,How to Cancel a Subscription You Forgot You Had,SCHEDULED,Finance,Muthu,1505,IMPROVE,6,6,Medium,5,2,4,7,"Canonical survivor of the forgotten-subscriptions pair; the three-place audit method (bank statement, UPI Autopay, app-store subscriptions) is genuinely more specific than a generic answer.",Cite the NACH cancellation timeline source; fold in the five-charges list as canonical merge target,,P1
53,(not live) /the-real-cost-of-buy-now-pay-later-what-the-fine-print-does-not-say,The Real Cost of Buy Now Pay Later — What the Fine Print Does Not Say,SCHEDULED,Finance,Muthu,807,IMPROVE,6,7,Medium,5,5,4,2,"Genuinely useful insight on bureau-reporting risk from small BNPL purchases; one real, named late-fee figure would move this from generic to authoritative.","Add one real, named late-fee figure and cite the bureau-reporting policy/provider",,P1
54,(not live) /credit-card-vs-debit-card-for-everyday-spending-what-actually-saves-you-money,Credit Card vs Debit Card for Everyday Spending — What Actually Saves You Money,SCHEDULED,Finance,Muthu,839,IMPROVE,5,4,Medium,3,5,7,3,Conceptually correct float-period framing; every numeric range needs a named card or issuer example to be more than generic advice.,"Name a specific card/issuer for each numeric range (interest rate, forex markup)",,P2
55,(not live) /how-to-track-where-your-salary-actually-goes-every-month,How to Track Where Your Salary Actually Goes Every Month,SCHEDULED,Finance,Muthu,1508,MERGE,5,3,Low,2,1,7,9,Generic spending-tracking advice that directly competes with the site's own zero-based-budgeting article for the same intent; fold in as a section rather than publishing separately.,Fold into the zero-based-budgeting article as a section; do not publish standalone,Zero-Based Budgeting: A Practical Guide to Giving Every Rupee a Job,P3
56,(not live) /five-recurring-charges-most-people-forget-to-cancel,Five Recurring Charges Most People Forget to Cancel,SCHEDULED,Finance,Muthu,887,MERGE,5,3,Low,2,1,8,9,Reuses the same statement-scan / Play Store–App Store / UPI Autopay methodology as the more complete scheduled subscription-cancellation article almost point for point.,Fold the five-charges list into the canonical cancellation article; do not publish standalone,How to Cancel a Subscription You Forgot You Had,P3
57,(not live) /how-cashback-apps-actually-make-money-off-you,How Cashback Apps Actually Make Money Off You,SCHEDULED,Finance,Muthu,828,IMPROVE,6,7,Medium,5,5,3,2,The breakage/float business-model explanation is genuinely insightful; naming zero actual Indian cashback apps in a piece specifically about them is the one real gap.,Name at least one real Indian cashback app with an actual commission/breakage figure,,P1
58,(not live) /how-to-negotiate-your-broadband-or-dth-bill-down,How to Negotiate Your Broadband or DTH Bill Down,SCHEDULED,Finance,Muthu,1542,IMPROVE,6,7,Medium,5,1,3,0,"Tactically the most specific how-to in its batch; needs a named provider (Jio, Airtel, ACT, Tata Play) since the whole piece is about negotiating with one.","Name an actual Indian ISP/DTH provider (Jio, Airtel, ACT, Tata Play)",,P1
59,(not live) /the-real-difference-between-a-fixed-deposit-and-a-recurring-deposit,The Real Difference Between a Fixed Deposit and a Recurring Deposit,SCHEDULED,Finance,Muthu,813,IMPROVE,6,7,Medium,5,5,3,0,"Best math-based reasoning in its batch; needs the ₹1,20,000 worked example actually finished with real maturity numbers and the current TDS threshold stated.","Finish the ₹1,20,000 worked example with real maturity numbers and state the TDS threshold",,P1
60,(not live) /how-much-of-your-salary-should-actually-go-to-rent,How Much of Your Salary Should Actually Go to Rent,SCHEDULED,Finance,Muthu,825,IMPROVE,6,7,Medium,5,5,3,0,Genuinely India-grounded HRA/tax-regime framing; should cite the actual Income Tax Act provision rather than describing it generically.,Cite the actual Income Tax Act section 10(13A) for the HRA exemption formula,,P1
61,(not live) /how-to-read-a-loan-apr-instead-of-just-the-emi,How to Read a Loan APR Instead of Just the EMI,SCHEDULED,Finance,Muthu,1502,IMPROVE,5,2,High,2,5,7,3,YMYL finance content with unsourced processing-fee and penalty ranges — needs an RBI circular or real lender comparison before publication.,Replace the hypothetical worked example with real lender data or cite an RBI circular,,P1
62,(not live) /how-to-find-freelance-work-in-india-without-bidding-to-the-bottom,How to Find Freelance Work in India Without Bidding to the Bottom,SCHEDULED,Career,Muthu,1511,MAJOR REWRITE,4,1,Low,1,1,8,6,Generic marketplace advice with no case study or named freelancer; Wise/Payoneer fee comparisons are never given real numbers despite being the article's own stated angle.,Add a real named freelancer case study and actual Wise/Payoneer fee comparison numbers,,P2
63,(not live) /how-to-write-a-portfolio-that-gets-replies-when-you-have-no-client-work-yet,How to Write a Portfolio That Gets Replies When You Have No Client Work Yet,SCHEDULED,Career,Muthu,1511,MAJOR REWRITE,4,2,Low,1,1,8,5,"Built entirely on scripted hypothetical dialogue rather than one real, shown portfolio example or screenshot; needs a genuine worked example, not incremental editing.","Replace scripted hypothetical dialogue with one real, shown portfolio example or screenshot",,P2
64,(not live) /remote-work-vs-hybrid-vs-office-what-actually-affects-career-growth,Remote Work vs Hybrid vs Office: How Each Setup Shapes Your Career Growth,SCHEDULED,Career,Muthu,868,IMPROVE,5,4,Medium,3,5,5,0,"The least padded, most focused article in its batch; a real survey citation on remote/hybrid promotion rates would meaningfully strengthen it.",Cite a real survey/study on remote vs hybrid promotion rates,,P1
65,(not live) /how-to-handle-a-counteroffer-from-your-current-employer,How to Handle a Counteroffer From Your Current Employer,SCHEDULED,Career,Muthu,1523,MERGE,4,1,Medium,1,5,8,9,States an unsourced 'leaves within a year' statistic and duplicates ground already owned by the published salary-negotiation article; fold in as a section.,Remove or cite the unsourced 'leaves within a year' stat; fold into canonical negotiation article,How to Negotiate Your Salary in India — What Works,P3
66,(not live) /how-to-build-a-linkedin-profile-that-recruiters-actually-find,How to Build a LinkedIn Profile That Recruiters Actually Find,SCHEDULED,Career,Muthu,1508,IMPROVE,5,5,Medium,4,1,6,0,The keyword-search mechanical framing is a genuine differentiator; claims about current LinkedIn recruiter behavior need verification before publishing.,Verify current LinkedIn recruiter-search claims and add screenshots of the profile settings discussed,,P2
67,(not live) /how-to-answer-why-are-you-leaving-your-current-job-honestly-and-well,"How to Answer ""Why Are You Leaving Your Current Job"" Honestly and Well",SCHEDULED,Career,Muthu,1529,MAJOR REWRITE,4,2,Medium,1,1,8,3,"Entirely template/script content plus an unsupported cultural generalization about Indian interview norms; needs real interview grounding, not a light edit.",Remove or source the unsupported Indian-interview cultural claim; use real interview examples,,P2
68,(not live) /what-to-actually-negotiate-besides-salary-in-a-job-offer,Beyond Salary: The Other Parts of a Job Offer Worth Negotiating,SCHEDULED,Career,Muthu,833,MERGE,5,4,Low,3,5,6,8,Only the ESOP-mechanics section is genuinely distinct; the rest duplicates the published salary-negotiation article and two other scheduled negotiation pieces.,Fold the ESOP mechanics section into the canonical salary-negotiation article,How to Negotiate Your Salary in India — What Works,P3
69,(not live) /how-to-ask-for-a-raise-without-a-new-offer-in-hand,How to Ask for a Raise Without a New Offer in Hand,SCHEDULED,Career,Muthu,1514,MERGE,5,5,Low,3,5,6,8,Strongest of the three scheduled negotiation pieces (names Levels.fyi/AmbitionBox/Glassdoor) but still one of four articles competing for the same salary-negotiation intent; fold its sourcing into the canonical article.,Fold the Levels.fyi/AmbitionBox/Glassdoor sourcing into the canonical salary-negotiation article,How to Negotiate Your Salary in India — What Works,P3
70,(not live) /how-applicant-tracking-systems-actually-filter-resumes,What Applicant Tracking Systems Really Do With Your Resume,SCHEDULED,Career,Muthu,850,MERGE,6,6,Medium,5,5,3,8,"Mechanically the strongest article in its batch (real comparison table, real ATS platform names) but substantially overlaps the published resume article; merge in as an ATS-mechanics section.",Merge the ATS-mechanics parsing-failure table into the published resume article as a subsection,How to Write a Resume That Gets Shortlisted,P3
